,name,description,category,img_urls
0,BODY PUNTO,Body de cuello redondo y manga larga. Cierre en bajo con botones a presión.,BODY,https://static.zara.net/photos///2022/I/0/1/p/8689/117/800/2/w/4176/8689117800_9_1_1.jpg?ts=1668166155433
1,CHAQUETA PUNTO HILO METALIZADO,Chaqueta abierta con manga larga. Detalle de hilo metalizado.,CHAQUETA,https://static.zara.net/photos///2022/I/0/1/p/8146/102/800/2/w/4223/8146102800_15_1_1.jpg?ts=1668166108042
2,CHALECO CROP ROMBOS,Chaleco de escote pico y manga sisa.,CHALECO,https://static.zara.net/photos///2022/I/0/1/p/2142/254/704/2/w/2048/2142254704_2_1_1.jpg?ts=1668166152538
3,JERSEY PUNTO ESPALDA DESCUBIERTA,Jersey de cuello redondo y manga larga. Detalle de hilo metalizado y abertura en espalda con lazada en el bajo.,JERSEY,https://static.zara.net/photos///2022/I/0/1/p/5755/142/800/2/w/4078/5755142800_15_1_1.jpg?ts=1668166106124
4,JERSEY PUNTO OCHOS BRILLOS,Jersey largo de cuello redondo y manga larga. Detalle aplicación de abalorios.,JERSEY,https://static.zara.net/photos///2022/I/0/1/p/4331/180/401/2/w/2048/4331180401_1_1_1.jpg?ts=1668166149520
5,VESTIDO PUNTO ROMBOS,Vestido midi de escote pico y manga sisa.,VESTIDO,https://static.zara.net/photos///2022/I/0/1/p/5755/144/070/2/w/2048/5755144070_2_1_1.jpg?ts=1668166153457
6,CHAQUETA PUNTO ROMBOS BOTONES JOYA,Chaqueta de escote pico y manga larga. Bolsillos delanteros de plastrón. Cierre frontal con botones joya.,CHAQUETA,https://static.zara.net/photos///2022/I/0/1/p/3920/119/330/2/w/4196/3920119330_15_1_1.jpg?ts=1668166107454
7,CHAQUETA PUNTO ESTRUCTURA,Chaqueta de escote pico y manga larga. Cierre frontal con botones joya.,CHAQUETA,https://static.zara.net/photos///2022/I/0/1/p/9598/219/700/2/w/4176/9598219700_9_1_1.jpg?ts=1668165791999
8,JERSEY PUNTO ABALORIOS LIMITED EDITION,Jersey de cuello redondo con escote pico y manga larga ancha. Detalle aplicación de abalorios.,JERSEY,https://static.zara.net/photos///2022/I/0/1/p/6206/100/637/2/w/2048/6206100637_2_1_1.jpg?ts=1668166150390
9,JERSEY PUNTO OCHOS BRILLOS,Jersey de cuello redondo y manga larga. Detalle aplicación de brillos.,JERSEY,https://static.zara.net/photos///2022/I/0/1/p/6771/161/712/2/w/2048/6771161712_1_1_1.jpg?ts=1668166149958
